,Port,Port_Code,State_Country,Port_Name
408,"FABENS, TX            ",FAB,TX,FABENS
409,"FALCON HEIGHTS, TX    ",FAL,TX,FALCON HEIGHTS
410,"FORT HANCOCK, TX      ",FTH,TX,FORT HANCOCK
411,"FORT WORTH ALLIANCE, TX",AFW,TX,FORT WORTH ALLIANCE
412,"FREEPORT, TX          ",FPT,TX,FREEPORT
413,"GALVESTON, TX         ",GAL,TX,GALVESTON
414,"HARLINGEN, TX         ",HLG,TX,HARLINGEN
415,"HIDALGO, TX           ",HID,TX,HIDALGO
416,"HOUSTON, TX           ",HOU,TX,HOUSTON
417,"HULL FIELD, SUGAR LAND ARPT, TX",SGR,TX,HULL FIELD
418,"JUAREZ-LINCOLN BRIDGE, TX",LLB,TX,JUAREZ-LINCOLN BRIDGE
419,"LAREDO COLUMBIA BRIDGE, TX",LCB,TX,LAREDO COLUMBIA BRIDGE
420,"LAREDO NORTH, TX      ",LRN,TX,LAREDO NORTH
421,"LAREDO, TX            ",LAR,TX,LAREDO
422,"LOS EBANOS, TX        ",LSE,TX,LOS EBANOS
423,"LOS INDIOS, TX",IND,TX,LOS INDIOS
424,"LOS INDIOS, TX        ",LOI,TX,LOS INDIOS
425,"MARFA, TX (BPS)",MRS,TX,MARFA
426,"MCALLEN, TX           ",MCA,TX,MCALLEN
427,"ODESSA REGIONAL, TX",MAF,TX,ODESSA REGIONAL
428,"PASO DEL NORTE,TX     ",PDN,TX,PASO DEL NORTE
429,"PEACE BRIDGE, NY      ",PBB,NY,PEACE BRIDGE
430,"PHARR, TX             ",PHR,TX,PHARR
431,"PORT ARTHUR, TX       ",PAR,TX,PORT ARTHUR
432,"PORT ISABEL, TX       ",ISB,TX,PORT ISABEL
433,"PORT OF EL PASO, TX   ",POE,TX,PORT OF EL PASO
434,"PRESIDIO, TX          ",PRE,TX,PRESIDIO
435,"PROGRESO, TX          ",PGR,TX,PROGRESO
436,"RIO GRANDE CITY, TX   ",RIO,TX,RIO GRANDE CITY
437,"ROMA, TX              ",ROM,TX,ROMA
438,"SAN ANTONIO, TX       ",SNA,TX,SAN ANTONIO
439,"SANDERSON, TX         ",SNN,TX,SANDERSON
440,"VETERAN INTL BRIDGE, TX",VIB,TX,VETERAN INTL BRIDGE
441,"YSLETA, TX            ",YSL,TX,YSLETA
442,"CHARLOTTE AMALIE, VI  ",CHA,VI,CHARLOTTE AMALIE
443,"CHRISTIANSTED, VI     ",CHR,VI,CHRISTIANSTED
444,"CRUZ BAY, ST JOHN, VI ",CRU,VI,CRUZ BAY
