,Port,Port_Code,State_Country,Port_Name
LEX,"BLUE GRASS - LEXINGTON, KY",LEX,AK,ALCAN
LOU,"LOUISVILLE, KY        ",LOU,AK,ALCAN
BTN,"BATON ROUGE, LA       ",BTN,AK,ALCAN
LKC,"LAKE CHARLES, LA      ",LKC,AK,ALCAN
LAK,"LAKE CHARLES, LA (BPS)",LAK,AK,ALCAN
MLU,"MONROE, LA",MLU,AK,ALCAN
MGC,"MORGAN CITY, LA       ",MGC,AK,ALCAN
NOL,"NEW ORLEANS, LA       ",NOL,AK,ALCAN
BOS,"BOSTON, MA            ",BOS,AK,ALCAN
GLO,"GLOUCESTER, MA        ",GLO,AK,ALCAN
BED,"HANSCOM FIELD - BEDFORD, MA",BED,AK,ALCAN
LYN,"LYNDEN, WA            ",LYN,AK,ALCAN
ADW,"ANDREWS AFB, MD",ADW,AK,ALCAN
BAL,"BALTIMORE, MD         ",BAL,AK,ALCAN
MKG,"MUSKEGON, MD",MKG,AK,ALCAN
PAX,"PATUXENT RIVER, MD    ",PAX,AK,ALCAN
BGM,"BANGOR, ME            ",BGM,AK,ALCAN
BOO,"BOOTHBAY HARBOR, ME   ",BOO,AK,ALCAN
BWM,"BRIDGEWATER, ME       ",BWM,AK,ALCAN
BCK,"BUCKPORT, ME          ",BCK,AK,ALCAN
CLS,"CALAIS, ME   ",CLS,AK,ALCAN
CRB,"CARIBOU, ME           ",CRB,AK,ALCAN
COB,"COBURN GORE, ME       ",COB,AK,ALCAN
EST,"EASTCOURT, ME         ",EST,AK,ALCAN
EPT,"EASTPORT MUNICIPAL, ME",EPT,AK,ALCAN
EPM,"EASTPORT, ME          ",EPM,AK,ALCAN
FOR,"FOREST CITY, ME       ",FOR,AK,ALCAN
FTF,"FORT FAIRFIELD, ME    ",FTF,AK,ALCAN
FTK,"FORT KENT, ME         ",FTK,AK,ALCAN
HML,"HAMIIN, ME            ",HML,AK,ALCAN
HTM,"HOULTON, ME           ",HTM,AK,ALCAN
JKM,"JACKMAN, ME           ",JKM,AK,ALCAN
KAL,"KALISPEL, MT          ",KAL,AK,ALCAN
LIM,"LIMESTONE, ME         ",LIM,AK,ALCAN
LUB,"LUBEC, ME             ",LUB,AK,ALCAN
MAD,"MADAWASKA, ME         ",MAD,AK,ALCAN
POM,"PORTLAND, ME          ",POM,AK,ALCAN
RGM,"RANGELEY, ME (BPS)",RGM,AK,ALCAN
SBR,"SOUTH BREWER, ME      ",SBR,AK,ALCAN
SRL,"ST AURELIE, ME        ",SRL,AK,ALCAN
SPA,"ST PAMPILE, ME        ",SPA,AK,ALCAN
VNB,"VAN BUREN, ME         ",VNB,AK,ALCAN
VCB,"VANCEBORO, ME         ",VCB,AK,ALCAN
AGN,"ALGONAC, MI           ",AGN,AK,ALCAN
ALP,"ALPENA, MI            ",ALP,AK,ALCAN
BCY,"BAY CITY, MI          ",BCY,AK,ALCAN
